origin,review_status,game_id,game_name,category_id,category_name,item_id,kind,prompt,answers_or_aliases,reason
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-1,word,أسد,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-2,word,نمر,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-3,word,فيل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-4,word,زرافة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-5,word,قرد,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-6,word,دب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-7,word,ذئب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-8,word,ثعلب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-9,word,أرنب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-10,word,جمل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-11,word,حصان,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-12,word,بقرة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-13,word,خروف,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-14,word,ماعز,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-15,word,كلب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-16,word,قطة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-17,word,تمساح,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-18,word,ثعبان,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-19,word,بطريق,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-20,word,دلفين,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-kangaroo,word,كنغر,Kangaroo,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-turtle,word,سلحفاة,Turtle,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-octopus,word,أخطبوط,Octopus,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-panda,word,باندا,Panda,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-frog,word,ضفدع,Frog,NEW. حيوان صحيح لكن أقرب للحشو من إضافة شخصية قوية للفئة.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-bee,word,نحلة,Bee,NEW. حيوان صحيح لكن أقرب للحشو من إضافة شخصية قوية للفئة.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-butterfly,word,فراشة,Butterfly,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-owl,word,بومة,Owl,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-hedgehog,word,قنفذ,Hedgehog,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-peacock,word,طاووس,Peacock,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-koala,word,كوالا,Koala,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-hippo,word,فرس النهر,Hippo,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-rhino,word,وحيد القرن,Rhino,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-bat,word,خفاش,Bat,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,animals,حيوانات,animals-falcon,word,صقر,Falcon,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-hamster,word,هامستر,Hamster,NEW. حيوان صحيح لكن أقرب للحشو من إضافة شخصية قوية للفئة.
NEW,NEAR_DUPLICATE,bara-al-salafa,برا السالفة,animals,حيوانات,animals-whale,word,حوت,Whale,NEW. حوت بجانب دلفين الأصلي — ثديي بحري ضخم إضافي.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-parrot,word,ببغاء,Parrot,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,animals,حيوانات,animals-gazelle,word,غزال,Gazelle,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEAR_DUPLICATE,bara-al-salafa,برا السالفة,animals,حيوانات,animals-cheetah,word,فهد,Cheetah,NEW. فهد بجانب أسد/نمر الأصليين.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-1,word,بيتزا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-2,word,برغر,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-3,word,شاورما,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-4,word,كبسة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-5,word,مندي,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-6,word,فلافل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-7,word,حمص,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-8,word,كنافة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-9,word,بقلاوة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-10,word,سوشي,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-11,word,باستا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-12,word,بشاميل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-13,word,آيس كريم,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-14,word,فشار,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-15,word,دونات,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-16,word,بان كيك,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-17,word,وافل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-18,word,كب كيك,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-19,word,سمبوسة,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-20,word,تشيز كيك,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-harees,word,هريس,Harees,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEAR_DUPLICATE,bara-al-salafa,برا السالفة,food,أكلات,food-jareesh,word,جريش,Jareesh,NEW. جريش بجانب هريس.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-masoub,word,معصوب,Masoub,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-dates,word,تمر,Dates,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-coffee,word,قهوة,Coffee,NEW. «قهوة» عامة جدًا بجانب شاي كرك؛ الأصل كان أطباقًا لا مشروبًا فضفاضًا.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-mutabbaq,word,مطبق,Mutabbaq,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-mansaf,word,منسف,Mansaf,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-koshari,word,كشري,Koshari,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-molokhia,word,ملوخية,Molokhia,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-biryani,word,برياني,Biryani,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-luqaimat,word,لقيمات,Luqaimat,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-basbousa,word,بسبوسة,Basbousa,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-areeka,word,عريكة,Areeka,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-chocolate,word,شوكولاتة,Chocolate,NEW. عنصر عام/فضفاض. قد يُرسم أو يُخمَّن بأي شيء، أو يكرّر مفهومًا أبسط من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-apple,word,تفاح,Apple,NEW. حشو فواكه عامة. الأصل تجنّب تحويل الفئة إلى قائمة بقالة.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-banana,word,موز,Banana,NEW. حشو فواكه عامة. الأصل تجنّب تحويل الفئة إلى قائمة بقالة.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-orange,word,برتقال,Orange,NEW. حشو فواكه عامة. الأصل تجنّب تحويل الفئة إلى قائمة بقالة.
